scheme_id,scheme_name,profession_tags,eligibility_criteria,age_range,income_range,state_residence,benefits,application_process
SCH01,Kisan Credit Card (KCC),"Farmers, Low Income","Small and marginal farmers with cultivable land","18-75 years","Low income, as per bank norms","All States","Access to short-term credit for crops, low-interest loans","Apply at nearest bank with land and identity documents"
SCH02,Pradhan Mantri Fasal Bima Yojana (PMFBY),"Farmers, Low Income","All farmers growing notified crops and having insurable interest","18-70 years","All income levels","All States","Crop insurance coverage against natural calamities","Apply through banks or online portal during crop season"
SCH03,Soil Health Card Scheme,"Farmers, Low Income","All farmers with cultivable land","18-70 years","All income levels","All States","Soil health analysis and guidance on fertilizers","Apply through agriculture department/local extension office"
SCH04,Atal Pension Yojana (APY),"Farmers, Rural Workers, Low Income","Unorganized sector workers with savings account","18-40 years","Low income/unorganized sector","All States","Guaranteed pension after 60 years","Register via bank/post office with Aadhaar and account details"
SCH05,Agriculture Infrastructure Fund (AIF),"Medium Income Farmers, Rural Entrepreneurs","Individuals, FPOs, cooperatives engaged in agriculture","18-70 years","Medium income/entrepreneurs","All States","Credit facility for agri-infrastructure at concessional rates","Apply via agri-infra portal or banks"
SCH06,Dairy Entrepreneurship Development Scheme (DEDS),"Medium Income Farmers","Individuals/groups engaged in dairy farming","18-65 years","Medium income","All States","Subsidy for setting up dairy units","Apply through NABARD channel partner banks"
SCH07,NABARD Rural Innovation Fund,"Medium Income Farmers, Rural Innovators","Individuals, NGOs, institutions with rural innovation projects","18-65 years","Medium income/innovation projects","All States","Funding support for innovative rural ventures","Apply via NABARD regional office"
SCH08,Pradhan Mantri Krishi Sinchai Yojana (PMKSY),"Medium Income Farmers","Farmers with cultivable land requiring irrigation facilities","18-70 years","Medium income","All States","Support for irrigation, water-use efficiency","Apply through agriculture department/state nodal agencies"
SCH09,PMEGP (for agro-based units),"Small Agri Traders, Rural Entrepreneurs","Entrepreneurs setting up agro-based industries","18-55 years","Low to Medium income","All States","Subsidy on project cost for agro-based businesses","Apply via KVIC/online PMEGP portal"
SCH10,PM MUDRA Yojana (Shishu/Kishor),"Small Agri Traders, Rural Entrepreneurs","Small businesses and traders requiring working capital","18-65 years","Low to Medium income","All States","Collateral-free loans up to ₹10 lakh","Apply via banks/NBFCs/MUDRA portal"
SCH11,Gramin Bhandaran Yojana,"Small Agri Traders, Farmers, Rural Entrepreneurs","Individuals, farmers, cooperatives constructing rural godowns","18-70 years","Low to Medium income","All States","Financial assistance for storage infrastructure","Apply through NABARD/banks with project proposal"
SCH12,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),"salaried,low_income","Unorganized sector workers earning < ₹15,000/month","18-40","< ₹15,000","All India","Pension of ₹3,000/month after age 60","Apply via CSC centers or online portal with Aadhaar and bank account"
SCH13,Pradhan Mantri Suraksha Bima Yojana (PMSBY),"salaried,low_income","Savings bank account holder, auto-debit facility","18-70","< ₹15,000","All India","Accidental death/disability cover up to ₹2 lakh","Enroll through bank with consent for auto-debit"
SCH14,Pradhan Mantri Jeevan Jyoti Bima Yojana (PMJJBY),"salaried,low_income","Savings bank account holder, auto-debit facility","18-50","< ₹15,000","All India","Life insurance cover of ₹2 lakh","Enroll through bank with consent for auto-debit"
SCH15,Atal Pension Yojana (APY),"salaried,low_income","Savings bank account holder, not member of statutory social security schemes","18-40","< ₹15,000","All India","Guaranteed pension ₹1,000–₹5,000/month after 60","Apply through bank with Aadhaar and bank details"
SCH16,National Pension System (NPS),"salaried,middle_income","Indian citizens","18-65","₹15,000–₹50,000","All India","Retirement corpus + pension, tax benefits","Apply online via NSDL/CRA or through PoP banks"
SCH17,Employee Provident Fund (EPF)/EPS Pension,"salaried,middle_income","Mandatory for employees in organizations registered under EPF Act","18-58","₹15,000–₹50,000","All India","Retirement savings + pension benefits","Employer auto-enrollment, manage via EPFO portal"
SCH18,Sovereign Gold Bonds (SGB),"salaried,middle_income","Resident individuals","Any","₹15,000–₹50,000","All India","Gold-linked returns + interest + tax benefits","Apply through banks, post offices, or online platforms"
SCH19,Public Provident Fund (PPF),"salaried,middle_income","Resident individuals","Any","₹15,000–₹50,000","All India","Long-term savings + tax benefits","Open account at bank/post office and deposit annually"
SCH20,NPS (Tier 1 + Tier 2),"salaried,high_income","Indian citizens","18-65","> ₹50,000","All India","Retirement corpus + flexible investment","Apply online via NSDL/CRA or through PoP banks"
SCH21,Senior Citizens Savings Scheme (SCSS),"salaried,high_income","Must be 60 years or above","60+ (55+ with retirement benefits)","> ₹50,000","All India","Guaranteed income with high interest rates","Apply via bank/post office with proof of age"
SCH22,Equity Linked Savings Scheme (ELSS),"salaried,high_income","Resident individuals, taxpayers","18-65","> ₹50,000","All India","Tax-saving + equity returns","Invest via mutual fund houses or online platforms"
SCH23,Voluntary Provident Fund (VPF),"salaried,high_income","EPF member opting for higher contributions","18-58","> ₹50,000","All India","Higher retirement corpus, tax benefits","Opt-in through employer payroll system"
SCH24,Sukanya Samriddhi Yojana,Housewives/Mothers,"Parents of a girl child below 10 years","0-10 (for girl child)","All Income Groups","All India","High interest savings scheme for girl child education and marriage","Open account in Post Office/Authorized Banks with daughter's birth certificate"
SCH25,Mahila Samman Savings Certificate,Housewives/Mothers,"Available to all women","18-60","All Income Groups","All India","Fixed income investment with 7.5% interest rate","Apply at Post Office/Authorized Banks"
SCH26,Atal Pension Yojana,Housewives/Mothers,"Unorganized sector workers without pension facility","18-40","Income less than 2 lakh p.a.","All India","Guaranteed monthly pension after 60 years","Register through bank with Aadhaar and savings account"
SCH27,Stree Shakti Loan Scheme,Working Women (Low/Medium Income),"Women entrepreneurs with >50% ownership in business","18-55","Up to 50 lakh turnover","All India","Collateral-free loans up to ₹25 lakh","Apply at SBI and partner banks with business proof"
SCH28,Annapurna Scheme,Working Women (Low/Medium Income),"Women entrepreneurs in food catering business","18-55","All Income Groups","All India","Loan up to ₹50,000 for working capital in food businesses","Apply through State Bank of Mysore and partner banks"
SCH29,PM MUDRA Yojana,Working Women (Low/Medium Income),"Micro/small entrepreneurs","18-65","Up to 10 lakh turnover","All India","Collateral-free business loans (Shishu, Kishor, Tarun categories)","Apply through any PSU/private bank or NBFC"
SCH30,Rashtriya Mahila Kosh,Working Women (Low/Medium Income),"Women from economically weaker sections","18-60","Low Income Groups","All India","Microfinance support via NGOs for self-employment","Apply via registered NGOs/MFIs under RMK"
SCH31,Stand-Up India Scheme,Women Entrepreneurs (Medium/High Income),"Women entrepreneurs starting new business","18-65","Loans from 10 lakh to 1 crore","All India","Bank loans for greenfield enterprises","Apply at any scheduled commercial bank"
